id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24326911,BEST location EVER: Roma / Reforma!! !!,4362310,Aarón,,Cuauhtémoc,19.42312,-99.17316,Entire home/apt,908,1,18,2020-03-23,0.42,35,238,0,
24332577,Habitación Privada en Acogedor Departamento,33766198,Gabriela,,Azcapotzalco,19.46451,-99.18661,Private room,435,1,73,2021-12-15,1.63,1,364,25,
24334016,"DEPTO #102 ""FRENTE AL AEROPUERTO""",108589107,Ileana,,Venustiano Carranza,19.43483,-99.09007,Entire home/apt,886,1,119,2021-12-05,2.67,10,350,10,
24334638,Bonito departamento bien ubicado,143402387,Marisela,,Gustavo A. Madero,19.49287,-99.14891,Entire home/apt,990,3,22,2020-11-18,0.49,5,300,0,
24335209,Santa Fe a 8 minutos con estacionamiento,53285153,Iván,,Cuajimalpa de Morelos,19.35695,-99.28634,Private room,609,2,57,2021-12-09,1.28,1,77,3,
24335870,Depto en la mejor ubicación ⚡️GYM & Business Center,172025870,Mariana,,Cuauhtémoc,19.42116,-99.16642,Entire home/apt,950,3,74,2021-12-05,1.65,1,336,14,
24336406,Como en casa,183170451,Silvia Patricia,,Gustavo A. Madero,19.50042,-99.12919,Private room,350,1,18,2021-12-04,0.40,1,364,5,
24336878,Enjoy the bohemian vibes @Roma Norte best location,180230936,Sinaloa 44 Apartments,,Cuauhtémoc,19.42094,-99.16576,Entire home/apt,1286,1,221,2021-12-10,4.92,8,126,54,
24337164,I wanna dance with somebody @ Roma Norte best area,180230936,Sinaloa 44 Apartments,,Cuauhtémoc,19.42094,-99.16576,Entire home/apt,1329,1,135,2021-12-14,3.00,8,137,35,
24343702,Apartamento tipo loft,141409885,Ricardo,,Cuauhtémoc,19.42016,-99.17585,Entire home/apt,1126,3,65,2021-12-07,1.47,2,365,11,
24353127,Rincón de Checo,148419640,Sergio,,Venustiano Carranza,19.42268,-99.08798,Entire home/apt,976,1,60,2021-12-12,1.35,1,168,33,
24354853,Boutique Apartment Downtown 628,42700394,Hugo Brauer,,Cuauhtémoc,19.43537,-99.1469,Entire home/apt,1525,1,77,2021-10-30,1.71,28,247,28,
24355334,Exelente habitacion al sur,183780572,Dulce Liliana,,Tlalpan,19.3032,-99.2209,Private room,350,1,3,2018-12-26,0.07,1,362,0,
24356417,"Casa Comtesse B&B-Hotel Habitación ""Cocada""",838896,Thomas Pierre,,Miguel Hidalgo,19.40433,-99.17463,Private room,903,1,90,2021-09-05,2.18,7,272,26,
24357355,Habitación Plus Centro histórico Seguridad 24/7.,45027285,Rose,,Cuauhtémoc,19.43369,-99.14959,Private room,479,1,77,2021-12-21,1.84,1,173,15,
24357754,"Unique apartment!@ the Hyatt area. 
Best location!",48451672,Paolo,,Miguel Hidalgo,19.42995,-99.19269,Entire home/apt,2063,1,12,2021-10-17,0.32,2,90,1,
24359336,Confortable studio near city center.,171894446,Alejandra,,Benito Juárez,19.40206,-99.13858,Entire home/apt,370,3,18,2021-07-23,0.41,16,357,4,
24369561,Knocking on Heavens Door @Roma Norte w/3 Balconies,180230936,Sinaloa 44 Apartments,,Cuauhtémoc,19.42095,-99.16576,Entire home/apt,1500,1,197,2021-12-12,4.38,8,100,41,
24373374,Dos habitaciónes privadas con dos baños y terraza,70937648,Victor,,Cuauhtémoc,19.44991,-99.16145,Private room,1700,1,7,2021-09-06,0.18,17,281,3,
24373988,Habitación bien ubicada en el sur de la Cd Mx,110200893,Jesús,,Tlalpan,19.29116,-99.12425,Private room,210,1,12,2021-12-19,0.27,1,363,2,
24374902,Departamento hanna,183952987,Liz Henriette,,Benito Juárez,19.36755,-99.17789,Private room,500,2,2,2018-05-19,0.05,1,365,0,
24374918,"Departamento privado, chic y con dos bellas terrazas. Se entrega desinfectado.",70937648,Victor,,Cuauhtémoc,19.44993,-99.16143,Entire home/apt,2061,1,285,2021-12-22,6.40,17,264,84,
